Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Ha,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2021,Season B,April,Nyarugenge,Rice,0.39,0.31,31.0,Hillside,Local Variety,Partial,Inorganic (NPK),17.4,No,Beans,Low,Sufficient,No,No,7.1,Clay Soil,6.06,2.38,39.3,22.3,204.1,24.1,127.1,76.8,6.8,11.5,100.0,24.73
2023,Season B,June,Gashora,Rice,0.7,0.54,54.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Cassava,High,Sufficient,Yes,Yes,14.0,Loam,6.67,1.95,47.7,26.0,184.0,24.8,43.1,63.4,8.4,12.5,127.7,21.14
2020,Season A,November,Ruhuha,Maize,2.48,1.83,183.0,Valley,Improved (WH507),No,None,0.0,No,Beans,Low,Adequate,No,Yes,5.4,Sandy Loam,7.03,2.33,57.8,17.9,179.3,25.3,117.9,73.5,7.9,9.9,105.7,18.78
2022,Season A,January,Rweru,Maize,2.61,1.9,190.0,Hillside,Improved (WH507),Partial,Organic (Compost),40.3,No,Cassava,Low,Sufficient,Yes,No,18.0,Clay Soil,7.04,2.58,64.0,12.5,179.0,21.1,60.9,72.2,7.7,10.0,98.0,19.01
2023,Season B,March,Nyamata,Maize,1.9,1.18,118.0,Hillside,Improved (WH507),No,None,0.0,Yes,Maize,Low,Adequate,Yes,Yes,14.3,Clay Soil,7.36,3.03,72.2,23.8,253.5,22.5,94.0,75.2,7.8,9.8,111.9,19.19
2023,Season A,December,Rweru,Beans,2.41,1.87,187.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Rice,Low,Adequate,No,Yes,21.9,Clay Soil,6.93,2.72,67.4,7.4,186.8,22.7,75.2,80.0,7.4,11.1,123.8,10.08
2021,Season B,May,Kamabuye,Rice,2.14,1.31,131.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Maize,Medium,Limited,Yes,Yes,21.8,Clay Soil,7.36,2.3,40.3,21.3,203.4,24.1,68.1,78.5,6.5,9.8,115.2,21.72
2022,Season B,February,Rweru,Beans,0.12,0.1,10.0,Flat,Hybrid (MAC 44),Partial,Inorganic (NPK),72.3,Yes,Cassava,Medium,Adequate,Yes,No,9.7,Clay Soil,7.01,2.69,65.3,13.8,203.5,23.7,60.5,76.7,7.0,10.2,110.9,9.98
2021,Season A,January,Mwogo,Rice,0.69,0.51,51.0,Hillside,Improved (IR64 / NERICA),Yes,Inorganic (NPK),116.2,No,Beans,Medium,Sufficient,Yes,No,11.0,Sandy Soil,5.98,1.89,67.0,23.2,144.8,21.9,50.4,66.2,8.1,11.9,123.6,32.89
2020,Season A,January,Musenyi,Maize,2.11,1.59,159.0,Hillside,Improved (WH507),Partial,Inorganic (NPK),42.5,No,Maize,High,Adequate,Yes,Yes,11.1,Loam,7.09,2.36,39.9,12.9,246.2,22.1,76.5,68.6,8.3,8.5,105.1,14.61
2020,Season B,March,Nyamata,Beans,2.14,1.84,184.0,Valley,Improved (RWR 2245),Yes,Inorganic (NPK),121.9,Yes,Cassava,Low,Sufficient,No,No,13.6,Clay Soil,7.1,3.19,76.5,23.5,245.3,23.0,61.6,69.5,7.8,12.6,102.1,15.62
2023,Season B,February,Mwogo,Rice,2.7,2.19,219.0,Hillside,Improved (IR64 / NERICA),Yes,Inorganic (NPK),230.3,Partial,Beans,Low,Sufficient,Yes,Yes,14.2,Sandy Soil,6.12,1.92,70.2,21.8,156.7,22.6,61.8,69.2,7.5,8.5,99.6,32.35
2020,Season A,December,Juru,Beans,1.52,1.43,143.0,Valley,Local Variety,No,None,0.0,No,Fallow,Medium,Sufficient,Yes,No,16.4,Sandy Loam,6.83,2.68,45.1,23.6,178.6,22.1,70.1,65.9,7.3,10.6,120.5,7.08
2022,Season A,September,Musenyi,Rice,1.29,1.12,112.0,Valley,Local Variety,Yes,Organic (Compost),0.0,Yes,Fallow,Medium,Limited,Yes,Yes,23.2,Loam,7.11,2.27,36.0,13.2,252.2,24.6,54.6,74.5,8.2,12.2,101.5,18.51
2024,Season B,February,Shyara,Maize,0.67,0.64,64.0,Flat,Improved (WH507),Partial,Inorganic (NPK),52.9,Partial,Fallow,Low,Sufficient,Yes,Yes,12.3,Sandy Loam,6.14,2.21,57.2,19.5,264.0,23.7,61.2,75.8,7.2,12.1,126.1,19.3
2024,Season A,September,Nyarugenge,Rice,2.21,1.76,176.0,Valley,Hybrid (Komboka),Yes,Inorganic (NPK),247.1,No,Maize,Low,Adequate,Yes,No,13.4,Clay Soil,6.13,1.92,40.0,27.0,195.2,23.8,51.9,75.4,6.9,11.2,106.5,27.47
2024,Season A,November,Gashora,Rice,0.4,0.27,27.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),93.2,No,Beans,High,Limited,Yes,Yes,9.8,Loam,6.51,2.21,45.7,25.2,183.8,22.4,69.5,84.3,6.3,9.0,113.4,19.15
2023,Season B,April,Gashora,Beans,1.0,0.88,88.0,Flat,Hybrid (MAC 44),No,None,0.0,Yes,Beans,High,Sufficient,No,Yes,12.4,Loam,6.47,2.03,47.4,25.6,200.0,24.5,71.9,80.4,7.3,11.9,90.5,7.12
2022,Season B,February,Nyamata,Maize,1.61,1.18,118.0,Flat,Local Variety,Yes,Mixed (Organic + Inorganic),29.8,Yes,Maize,Low,Adequate,Yes,No,19.1,Clay Soil,7.28,3.08,76.3,24.7,248.5,21.0,54.9,67.9,7.9,9.6,115.1,12.98
2021,Season B,March,Juru,Maize,0.89,0.68,68.0,Valley,Improved (WH507),No,None,0.0,Yes,Maize,Medium,Adequate,Yes,Yes,24.3,Sandy Loam,6.86,2.61,48.1,22.6,170.7,24.3,93.7,77.1,7.9,10.9,127.2,16.4
2021,Season A,October,Mwogo,Rice,2.32,1.55,155.0,Valley,Hybrid (Komboka),Partial,Organic (Compost),77.3,Partial,Beans,Low,Adequate,Yes,No,8.4,Sandy Soil,5.98,1.87,68.4,20.3,171.8,24.0,121.6,74.9,5.7,11.3,117.1,35.45
2024,Season B,June,Rweru,Rice,0.93,0.9,90.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Beans,Low,Sufficient,Yes,Yes,18.3,Clay Soil,6.96,2.86,65.9,12.2,190.2,23.6,43.5,64.3,7.7,11.7,104.4,27.82
2020,Season A,September,Nyarugenge,Rice,1.59,1.09,109.0,Valley,Hybrid (Komboka),No,None,0.0,Yes,Beans,Medium,Limited,No,Yes,8.9,Clay Soil,6.19,2.18,39.0,18.9,195.0,25.0,69.4,76.2,6.9,11.4,102.1,23.04
