Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Are,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2022,Season A,October,Rilima,Maize,1.4,0.89,89.0,Hillside,Local Variety,Partial,Inorganic (NPK),0.69,No,Rice,Medium,Limited,Yes,No,23.9,Sandy Soil,6.21,1.73,44.1,16.7,217.2,23.4,141.5,82.8,7.9,10.1,112.4,12.84
2023,Season B,February,Rilima,Maize,0.4,0.25,25.0,Hillside,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),2.24,Partial,Beans,Medium,Adequate,Yes,No,20.0,Sandy Soil,6.13,1.98,43.3,16.9,205.7,22.7,92.6,75.5,7.2,11.1,99.2,35.0
2022,Season B,March,Rilima,Rice,2.0,1.35,135.0,Flat,Hybrid (Komboka),Partial,Inorganic (NPK),0.75,No,Rice,Medium,Sufficient,No,No,19.7,Sandy Soil,6.02,1.91,38.3,17.5,206.9,24.2,128.9,80.0,7.3,11.0,128.6,24.48
2020,Season A,September,Mareba,Beans,1.82,1.17,117.0,Flat,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Rice,Medium,Adequate,No,Yes,21.0,Sandy Loam,7.03,3.16,59.3,12.6,245.0,21.7,69.0,78.7,7.6,13.3,119.8,10.19
2021,Season B,February,Kamabuye,Beans,0.91,0.83,83.0,Flat,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),0.59,Yes,Beans,Low,Sufficient,Yes,Yes,15.7,Clay Soil,7.19,2.46,36.6,19.2,202.7,21.5,88.6,75.0,7.6,14.4,110.6,10.84
2024,Season A,January,Kamabuye,Maize,1.54,1.3,130.0,Flat,Improved (WH507),Yes,Inorganic (NPK),1.78,Partial,Beans,Low,Adequate,No,No,6.2,Clay Soil,6.99,2.33,37.3,19.6,207.8,23.3,61.7,76.7,8.7,12.2,112.2,20.45
2022,Season B,May,Shyara,Beans,1.02,0.65,65.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Maize,High,Limited,Yes,Yes,18.5,Sandy Loam,6.3,2.15,55.7,19.5,267.9,23.5,88.4,76.2,6.4,8.8,110.0,9.14
2024,Season A,December,Gashora,Beans,0.86,0.63,63.0,Flat,Local Variety,No,None,0.0,No,Fallow,Low,Adequate,Yes,No,6.3,Loam,6.57,2.1,50.9,25.2,175.8,21.8,115.5,81.0,8.1,11.1,101.9,6.84
2022,Season B,May,Rweru,Beans,0.46,0.42,42.0,Flat,Local Variety,Yes,Organic (Compost),0.0,Yes,Beans,Medium,Limited,No,Yes,15.8,Clay Soil,7.1,2.54,64.6,14.8,178.9,25.5,103.6,77.5,6.6,11.7,113.2,6.57
2021,Season B,May,Ntarama,Beans,2.52,2.31,231.0,Valley,Hybrid (MAC 44),No,None,0.0,No,Maize,Medium,Limited,Yes,No,21.6,Sandy Soil,7.19,3.16,59.2,11.4,253.8,22.7,53.3,80.4,5.8,9.5,88.8,7.39
2021,Season A,November,Rilima,Maize,0.49,0.46,46.0,Hillside,Hybrid (H614D),No,None,0.0,Yes,Beans,Low,Adequate,Yes,No,11.8,Sandy Soil,6.22,1.81,43.7,15.1,219.9,22.3,122.4,81.0,6.7,10.2,95.1,28.11
2023,Season A,September,Rilima,Rice,2.09,1.66,166.0,Flat,Hybrid (Komboka),Yes,Organic (Compost),0.0,No,Beans,Low,Adequate,Yes,Yes,10.0,Sandy Soil,6.02,1.8,43.6,19.5,225.6,22.8,75.9,67.9,7.5,12.2,123.8,23.92
2022,Season A,November,Nyarugenge,Maize,2.24,2.2,220.0,Hillside,Improved (WH507),Yes,Inorganic (NPK),1.62,No,Beans,Medium,Sufficient,Yes,No,20.4,Clay Soil,6.1,2.08,37.0,22.2,186.3,23.6,80.4,74.9,7.3,10.7,116.9,24.43
2021,Season A,September,Ruhuha,Maize,0.21,0.14,14.0,Valley,Improved (WH507),No,None,0.0,Yes,Beans,High,Limited,Yes,No,18.1,Sandy Loam,6.78,2.48,60.4,18.9,185.3,21.2,94.7,75.3,7.4,10.5,128.4,15.13
2020,Season A,September,Nyarugenge,Maize,2.88,2.61,261.0,Hillside,Improved (WH507),No,None,0.0,No,Maize,Medium,Limited,Yes,No,8.6,Clay Soil,6.05,2.72,35.6,26.5,192.5,23.4,78.9,71.0,7.8,11.0,127.5,14.4
2024,Season A,January,Mayange,Beans,0.63,0.57,57.0,Hillside,Local Variety,No,None,0.0,No,Maize,Low,Limited,No,Yes,16.3,Sandy Loam,5.98,2.71,67.3,13.4,208.5,22.5,55.7,70.7,8.1,11.5,108.0,5.87
2024,Season B,April,Nyamata,Maize,2.41,2.2,220.0,Flat,Improved (WH507),No,None,0.0,No,Beans,Low,Adequate,Yes,No,5.7,Clay Soil,7.12,2.93,77.1,23.9,258.2,24.9,83.8,83.7,6.0,8.9,95.3,16.96
2020,Season B,May,Mayange,Maize,2.99,2.84,284.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),1.12,Partial,Maize,Low,Limited,No,No,22.1,Sandy Loam,5.86,2.99,67.0,11.0,218.0,24.3,62.2,77.2,6.9,12.9,116.5,20.53
2020,Season B,March,Mayange,Rice,2.79,1.8,180.0,Hillside,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),0.96,No,Beans,High,Adequate,No,No,16.9,Sandy Loam,6.03,2.79,62.0,12.8,205.6,21.9,64.7,84.7,7.4,10.1,122.0,29.31
